PGSC0003DMG400011740,GO:0008152
PGSC0003DMG400011741,GO:0071704
PGSC0003DMG400011750,GO:0044699
PGSC0003DMG400011751,GO:0055114
PGSC0003DMG400011752,GO:0009250
PGSC0003DMG400011783,GO:0008150
PGSC0003DMG400011792,GO:0044267
PGSC0003DMG400011811,GO:0044699
PGSC0003DMG400011823,GO:0009987
PGSC0003DMG400011840,GO:0043170
PGSC0003DMG400011900,GO:0008150
PGSC0003DMG400011929,GO:0044699
PGSC0003DMG400011949,GO:0044699
PGSC0003DMG400011951,GO:0044699
PGSC0003DMG400011953,GO:0044699
PGSC0003DMG400011964,GO:0009987
PGSC0003DMG400011974,GO:0007154
PGSC0003DMG400012012,GO:0009119
PGSC0003DMG400012017,GO:0065009
PGSC0003DMG400012100,GO:0008150
PGSC0003DMG400012101,GO:0044237
PGSC0003DMG400012109,GO:0072321
PGSC0003DMG400012120,GO:0008150
PGSC0003DMG400012163,GO:0036211
PGSC0003DMG400012191,GO:0008152
PGSC0003DMG400012202,GO:0044699
PGSC0003DMG400012205,GO:0009260
PGSC0003DMG400012210,GO:0008152
PGSC0003DMG400012235,GO:0009057
PGSC0003DMG400012242,GO:0010039
PGSC0003DMG400012261,GO:2000112
PGSC0003DMG400012263,GO:0019750
PGSC0003DMG400012307,GO:0006464
PGSC0003DMG400012421,GO:0071555
PGSC0003DMG400012434,GO:0009987
PGSC0003DMG400012481,GO:0008150
PGSC0003DMG400012501,GO:0036211
PGSC0003DMG400012522,GO:0016126
PGSC0003DMG400012543,GO:1902578
PGSC0003DMG400012581,GO:0009987
PGSC0003DMG400012607,GO:0043170
PGSC0003DMG400012635,GO:1901576
PGSC0003DMG400012640,GO:0044238
PGSC0003DMG400012653,GO:0006355
PGSC0003DMG400012669,GO:0055114
PGSC0003DMG400012685,GO:0044260
PGSC0003DMG400012696,GO:0072511
PGSC0003DMG400012712,GO:0055114
PGSC0003DMG400012762,GO:0006807
PGSC0003DMG400012763,GO:0071704
PGSC0003DMG400012795,GO:0044699
PGSC0003DMG400012891,GO:0048608
PGSC0003DMG400012918,GO:0008150
PGSC0003DMG400012951,GO:0044260
PGSC0003DMG400012964,GO:0008152
PGSC0003DMG400012971,GO:1901700
PGSC0003DMG400013022,GO:0072511
PGSC0003DMG400013035,GO:0009058
PGSC0003DMG400013077,GO:0008152
PGSC0003DMG400013098,GO:0009987
PGSC0003DMG400013270,GO:0043043
PGSC0003DMG400013297,GO:0010233
PGSC0003DMG400013301,GO:0065007
PGSC0003DMG400013307,GO:0071704
PGSC0003DMG400013308,GO:0006952
PGSC0003DMG400013335,GO:0044699
PGSC0003DMG400013417,GO:0044267
PGSC0003DMG400013457,GO:0051641
PGSC0003DMG400013506,GO:0008150
PGSC0003DMG400013638,GO:0072593
PGSC0003DMG400013695,GO:0033993
PGSC0003DMG400013721,GO:0008150
PGSC0003DMG400013779,GO:0044699
PGSC0003DMG400013828,GO:0019538
PGSC0003DMG400013885,GO:0071704
PGSC0003DMG400013886,GO:0006793
PGSC0003DMG400013887,GO:0044706
PGSC0003DMG400013989,GO:0050794
PGSC0003DMG400014013,GO:0008152
PGSC0003DMG400014093,GO:0044711
PGSC0003DMG400014117,GO:0008150
PGSC0003DMG400014137,GO:0080090
PGSC0003DMG400014225,GO:0042221
PGSC0003DMG400014239,GO:0044237
PGSC0003DMG400014248,GO:0043170
PGSC0003DMG400014266,GO:0008150
PGSC0003DMG400014267,GO:0009987
PGSC0003DMG400014293,GO:0009719
PGSC0003DMG400014316,GO:0032501
PGSC0003DMG400014325,GO:0008152
PGSC0003DMG400014342,GO:0051234
PGSC0003DMG400014345,GO:0008152
PGSC0003DMG400014372,GO:0009147
PGSC0003DMG400014381,GO:0043603
PGSC0003DMG400014391,GO:0071215
PGSC0003DMG400014417,GO:0043170
PGSC0003DMG400014422,GO:0009987
PGSC0003DMG400014459,GO:0046470
PGSC0003DMG400014486,GO:0009987
PGSC0003DMG400014549,GO:0032787
PGSC0003DMG400014643,GO:0043170
PGSC0003DMG400014695,GO:0006412
PGSC0003DMG400014700,GO:0071704
PGSC0003DMG400014795,GO:0009987
PGSC0003DMG400014800,GO:0032501
PGSC0003DMG400014824,GO:0055085
PGSC0003DMG400014855,GO:0044267
PGSC0003DMG400014863,GO:1901564
PGSC0003DMG400014875,GO:0006796
PGSC0003DMG400014954,GO:0008150
PGSC0003DMG400015006,GO:0006810
PGSC0003DMG400015153,GO:0006586
PGSC0003DMG400015157,GO:0019538
PGSC0003DMG400015169,GO:0044710
PGSC0003DMG400015194,GO:0009060
PGSC0003DMG400015229,GO:0016569
PGSC0003DMG400015230,GO:0008152
PGSC0003DMG400015239,GO:0044249
PGSC0003DMG400015245,GO:1901566
PGSC0003DMG400015273,GO:0051094
PGSC0003DMG400015287,GO:0065007
PGSC0003DMG400015319,GO:0044260
PGSC0003DMG400015342,GO:0046483
PGSC0003DMG400015383,GO:0046483
PGSC0003DMG400015407,GO:0034645
PGSC0003DMG400015463,GO:0009987
PGSC0003DMG400015464,GO:0006139
PGSC0003DMG400015688,GO:0071704
PGSC0003DMG400015711,GO:0071555
PGSC0003DMG400015731,GO:0019538
PGSC0003DMG400015744,GO:0008152
PGSC0003DMG400015795,GO:0009058
PGSC0003DMG400015801,GO:0044248
PGSC0003DMG400015992,GO:0071704
PGSC0003DMG400015998,GO:0009058
PGSC0003DMG400016003,GO:0006725
PGSC0003DMG400016004,GO:0010468
PGSC0003DMG400016006,GO:2000112
PGSC0003DMG400016066,GO:0008150
PGSC0003DMG400016115,GO:0044699
PGSC0003DMG400016120,GO:0044249
PGSC0003DMG400016133,GO:0009987
PGSC0003DMG400016138,GO:0006664
PGSC0003DMG400016140,GO:0051179
PGSC0003DMG400016147,GO:0006814
PGSC0003DMG400016156,GO:0044260
PGSC0003DMG400016191,GO:0008150
