Cluster-15354.73279,GO:0006950
Cluster-15354.73280,GO:0009271
Cluster-15354.73420,GO:0034314
Cluster-15354.74004,GO:0006850
Cluster-15354.74016,GO:0006355
Cluster-15354.74090,GO:0006694
Cluster-15354.74237,GO:0006310
Cluster-15354.74477,GO:0008152
Cluster-15354.74503,GO:0006355
Cluster-15354.74611,GO:0030001
Cluster-15354.74861,GO:0006118
Cluster-15354.75007,GO:0006457
Cluster-15354.75024,GO:0006468
Cluster-15354.75349,GO:0006468
Cluster-15354.75383,GO:0006355
Cluster-15354.75669,GO:0055085
Cluster-15354.75840,GO:0006542
Cluster-15354.76051,GO:0006457
Cluster-15354.76054,GO:0000162
Cluster-15354.76122,GO:0006119
Cluster-15354.76178,GO:0009415
Cluster-15354.76410,GO:0045454
Cluster-15354.76577,GO:0006402
Cluster-15354.76580,GO:0009236
Cluster-15354.76655,GO:0055114
Cluster-15354.76674,GO:0000902
Cluster-15354.76685,GO:0006011
Cluster-15354.76691,GO:0009058
Cluster-15354.76692,GO:0009058
Cluster-15354.76843,GO:0055114
Cluster-15354.77031,GO:0043087
Cluster-15354.77034,GO:0043087
Cluster-15354.77085,GO:0006629
Cluster-15354.77172,GO:0009749
Cluster-15354.77257,GO:0071988
Cluster-15354.77377,GO:0055114
Cluster-15354.77449,GO:0055114
Cluster-15354.77602,GO:0042254
Cluster-15354.77617,GO:0006099
Cluster-15354.77689,GO:0016567
Cluster-15354.77736,GO:0055114
Cluster-15354.77776,GO:0016567
Cluster-15354.77820,GO:0005975
Cluster-15354.77830,GO:0005975
Cluster-15354.77834,GO:0000902
Cluster-15354.77852,GO:0008152
Cluster-15354.7794,GO:0055114
Cluster-15354.78038,GO:0005975
Cluster-15354.78070,GO:0016579
Cluster-15354.78088,GO:0005975
Cluster-15354.78220,GO:0009733
Cluster-15354.78302,GO:0009451
Cluster-15354.78390,GO:0033227
Cluster-15354.78453,GO:0006446
Cluster-15354.78457,GO:0006874
Cluster-15354.78460,GO:0015743
Cluster-15354.78600,GO:0006270
Cluster-15354.78625,GO:0046938
Cluster-15354.78755,GO:0055114
Cluster-15354.78814,GO:0006355
Cluster-15354.78815,GO:0055114
Cluster-15354.78876,GO:0006468
Cluster-15354.78930,GO:0023052
Cluster-15354.78964,GO:0016049
Cluster-15354.79033,GO:0006118
Cluster-15354.79044,GO:0000902
Cluster-15354.79045,GO:0005975
Cluster-15354.79058,GO:0006783
Cluster-15354.79150,GO:0035556
Cluster-15354.79261,GO:0006144
Cluster-15354.79417,GO:0006810
Cluster-15354.79472,GO:0008152
Cluster-15354.79510,GO:0001522
Cluster-15354.79686,GO:0006810
Cluster-15354.79694,GO:0006412
Cluster-15354.79697,GO:0006412
Cluster-15354.79958,GO:0015994
Cluster-15354.80011,GO:0009058
Cluster-15354.80028,GO:0006260
Cluster-15354.80032,GO:0006631
Cluster-15354.80066,GO:0006098
Cluster-15354.80174,GO:0009085
Cluster-15354.80176,GO:0008207
Cluster-15354.80186,GO:0006308
Cluster-15354.80228,GO:0007187
Cluster-15354.80249,GO:0006351
Cluster-15354.80270,GO:0048870
Cluster-15354.80287,GO:0006694
Cluster-15354.80292,GO:0006508
Cluster-15354.80316,GO:0006508
Cluster-15354.80463,GO:0055085
Cluster-15354.80487,GO:0007165
Cluster-15354.80527,GO:0008610
Cluster-15354.80589,GO:0019643
Cluster-15354.80593,GO:0006869
Cluster-15354.80611,GO:0016114
Cluster-15354.80641,GO:0071704
Cluster-15354.80644,GO:0016049
Cluster-15354.80684,GO:0006213
Cluster-15354.80734,GO:0007339
Cluster-15354.80741,GO:0006206
Cluster-15354.80800,GO:0055114
Cluster-15354.80892,GO:0046487
Cluster-15354.80894,GO:0046487
Cluster-15354.80933,GO:0006013
Cluster-15354.81003,GO:0006508
Cluster-15354.81124,GO:0006629
Cluster-15354.81126,GO:0006118
Cluster-15354.81265,GO:0009878
Cluster-15354.81270,GO:0005992
Cluster-15354.81286,GO:0006351
Cluster-15354.81289,GO:0006351
Cluster-15354.81290,GO:0006206
Cluster-15354.81339,GO:0042254
Cluster-15354.81376,GO:0005975
Cluster-15354.81408,GO:0006534
Cluster-15354.81420,GO:0005985
